GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,StreamUtils,18,35,2,2,1,10,2,3,0,3
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FilteringJcrPropertyStatementListener,0,64,0,4,0,17,0,10,0,8
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,NodePropertiesTools,66,369,10,26,12,76,8,19,0,9
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FixityResultImpl,21,154,7,25,3,32,8,22,1,13
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,BinaryCacheEntry,12,18,0,0,4,6,0,4,0,4
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FedoraSessionUserUtil,4,52,1,7,2,12,1,6,0,3
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener,10,291,4,20,5,66,4,15,0,7
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils.IsExposedJCRPropertyPredicate,6,50,0,16,2,7,0,10,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,JcrPropertyStatementListener.Operation,0,24,0,0,0,2,0,1,0,1
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FedoraTypesUtils,40,605,4,70,13,107,5,63,1,30
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,ProjectedCacheEntry,6,20,0,0,2,3,0,2,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,BasicCacheEntry,26,123,0,6,6,28,0,8,0,5
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,PropertyChangedListener,0,31,0,4,0,10,0,5,0,3
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,NamespaceTools,18,152,1,11,6,27,1,10,0,5
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,ExternalResourceCacheEntry,27,33,0,0,6,7,0,4,0,4
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,UncheckedFunction,6,6,0,0,2,2,0,2,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,FixityInputStream,0,13,0,0,0,3,0,2,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils,UncheckedPredicate,0,12,0,0,0,4,0,2,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.observer.eventmappings,AllNodeEventsOneEvent,8,127,2,6,3,24,2,9,0,7
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.observer.eventmappings,OneToOne,0,7,0,0,0,2,0,2,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RelaxedRdfAdder,8,88,1,3,2,21,1,5,0,4
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RdfAdder,0,101,1,7,0,23,1,8,0,5
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,RdfRemover,0,45,0,0,0,12,0,4,0,4
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.utils.iterators,PersistingRdfStreamConsumer,45,266,3,19,11,61,4,17,1,9
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,ContainerServiceImpl,36,136,1,13,5,37,1,15,0,9
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,NodeServiceImpl,11,159,0,4,3,37,1,9,1,7
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,ServiceHelpers,128,63,14,2,28,22,12,3,5,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,CredentialsServiceImpl,5,12,1,1,1,3,1,2,0,2
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,TimeMapServiceImpl,18,98,4,6,3,23,4,9,0,8
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,BinaryServiceImpl,24,152,4,12,8,42,4,15,0,11
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,BatchServiceImpl,0,155,1,3,0,36,1,14,0,13
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,AbstractService,12,207,1,29,4,46,1,24,0,10
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,VersionServiceImpl,49,448,6,26,16,89,7,27,1,17
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,RepositoryServiceImpl,36,66,0,0,8,21,2,6,2,6
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape.services,ExternalContentServiceImpl,0,27,0,0,0,8,0,4,0,4
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,RdfJcrLexicon,0,19,0,0,0,9,0,1,0,1
Fedora Repository Deployable Web Application/fcrepo-kernel-modeshape,org.fcrepo.kernel.modeshape,UrlBinary,70,389,8,34,17,86,7,28,0,14
