GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Minter Module,org.fcrepo.mint,PidMintingException,8,5,0,0,4,2,2,1,2,1
Fedora Repository Minter Module,org.fcrepo.mint,HttpPidMinter,11,234,3,21,3,47,3,17,0,7
Fedora Repository Minter Module,org.fcrepo.mint,UUIDPathMinter,141,0,16,0,17,0,13,0,5,0
Fedora Repository Minter Module,org.fcrepo.mint,UUIDPidMinter,18,0,0,0,4,0,2,0,2,0
