GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-webhooks,org.fcrepo.webhooks,FedoraWebhooks,53,195,1,5,16,49,3,12,2,10
fcrepo-webhooks,org.fcrepo.webhooks,WebhooksResources,30,3,2,0,5,1,2,1,1,1
