GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,DelegateHeaderPrincipalProvider.DelegatedHeaderPrincipal,33,0,4,0,12,0,7,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ServletContainerAuthenticatingRealm,45,0,2,0,12,0,6,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ServletContainerAuthFilter,99,0,6,0,24,0,8,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,AbstractPrincipalProvider,76,0,6,0,22,0,8,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,DelegateHeaderPrincipalProvider,39,0,4,0,11,0,5,0,3,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,HttpHeaderPrincipalProvider,106,0,10,0,26,0,11,0,6,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,HttpHeaderPrincipalProvider.HttpHeaderPrincipal,33,0,4,0,12,0,7,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ContainerRolesPrincipalProvider.ContainerRolesPrincipal,33,0,4,0,11,0,7,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ContainerAuthToken,54,0,2,0,13,0,6,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-auth-common,org.fcrepo.auth.common,ContainerRolesPrincipalProvider,65,0,8,0,20,0,8,0,4,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,DefaultRdfStream,149,0,0,0,23,0,16,0,16,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry,42,0,2,0,10,0,5,0,4,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,RdfNamespaceRegistry.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.rdf,LdpTriplePreferences.PreferChoice,34,0,0,0,4,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.services.functions,ConfigurableHierarchicalSupplier,70,0,4,0,17,0,6,0,4,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InteractionModelViolationException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,UnsupportedMediaTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IdentifierConversionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PathNotFoundRuntimeException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ResourceTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,IncorrectTripleSubjectException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,MalformedRdfException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidACLException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryVersionRuntimeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ExternalMessageBodyException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,CannotCreateMementoException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,NoSuchPropertyDefinitionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PreconditionException,22,0,4,0,6,0,4,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,PathNotFoundException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ServerManagedTypeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,SessionMissingException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryRuntimeException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ExternalContentAccessException,5,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ConcurrentUpdateException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TombstoneException,34,0,2,0,9,0,5,0,4,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionClosedException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,FedoraInvalidNamespaceException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RelaxableServerManagedPropertyException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionNotFoundException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,OutOfDomainSubjectException,11,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidPrefixException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InterruptedRuntimeException,5,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,CannotCreateResourceException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ItemExistsException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ItemNotFoundException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,TransactionRuntimeException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ConstraintViolationException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidChecksumException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,AccessDeniedException,5,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RepositoryConfigurationException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,MultipleConstraintViolationException,41,0,2,0,10,0,4,0,3,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidMementoPathException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InvalidResourceIdentifierException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,GhostNodeException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,UnsupportedAlgorithmException,9,0,0,0,4,0,2,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,MementoDatetimeFormatException,5,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ServerManagedPropertyException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,RequestWithAclLinkHeaderException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,InsufficientStorageException,5,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.exception,ACLAuthorizationConstraintViolationException,4,0,0,0,2,0,1,0,1,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.utils,WrappingStream,145,0,0,0,33,0,30,0,30,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.utils,GraphDifferencer,84,0,4,0,19,0,8,0,6,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.utils,SubjectMappingUtil,49,0,4,0,12,0,4,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.utils,ContentDigest,48,0,0,0,10,0,5,0,5,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.utils,AutoReloadingConfiguration.new Runnable() {...},94,0,8,0,29,0,6,0,2,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.utils,RelaxedPropertiesHelper,230,0,26,0,53,0,23,0,10,0
Fedora Repository WebAC Authorization Module/fcrepo-kernel-api,org.fcrepo.kernel.api.utils,FixityResult.FixityState,34,0,0,0,2,0,1,0,1,0
